blockchain,chain_id,dt,layer,name,num_qualified_txs,num_raw_txs,num_success_txs,last_updated
mantle,5000,2024-04-28 00:00:00.000 UTC,L2,Mantle,381499,458303,443776,2024-07-01 00:19:07.295055
zkevm,1101,2024-06-13 00:00:00.000 UTC,L2,Polygon zkEVM,12271,18360,17849,2024-07-01 00:19:07.295055
zora,7777777,2024-05-01 00:00:00.000 UTC,L2,ZORA,84138,103697,103252,2024-07-01 00:19:07.295055
polygon,137,2024-05-13 00:00:00.000 UTC,L1,Polygon PoS,4011908,4009793,3789953,2024-07-01 00:19:07.295055
polygon,137,2024-06-25 00:00:00.000 UTC,L1,Polygon PoS,4141945,4139496,3883541,2024-07-01 00:19:07.295055
optimism,10,2024-04-30 00:00:00.000 UTC,L2,OP Mainnet,543859,755957,701379,2024-07-01 00:19:07.295055
scroll,534352,2024-06-01 00:00:00.000 UTC,L2,Scroll,242636,280420,269942,2024-07-01 00:19:07.295055
linea,59144,2024-06-13 00:00:00.000 UTC,L2,Linea,440494,530053,524133,2024-07-01 00:19:07.295055
blast,81457,2024-06-16 00:00:00.000 UTC,L2,Blast,841267,953024,909358,2024-07-01 00:19:07.295055
bnb,56,2024-04-08 00:00:00.000 UTC,L1,BNB,3374260,4272902,4030135,2024-07-01 00:19:07.295055
celo,42220,2024-04-23 00:00:00.000 UTC,L1,Celo,394140,469845,439345,2024-07-01 00:19:07.295055
optimism,10,2024-05-26 00:00:00.000 UTC,L2,OP Mainnet,354186,455538,425126,2024-07-01 00:19:07.295055
gnosis,100,2024-05-15 00:00:00.000 UTC,L1,Gnosis,127785,191766,174993,2024-07-01 00:19:07.295055
mantle,5000,2024-05-14 00:00:00.000 UTC,L2,Mantle,247211,262629,255145,2024-07-01 00:19:07.295055
bnb,56,2024-05-13 00:00:00.000 UTC,L1,BNB,2586657,3025669,2899515,2024-07-01 00:19:07.295055
zksync,324,2024-06-15 00:00:00.000 UTC,L2,zkSync Era,530134,530133,519211,2024-07-01 00:19:07.295055
base,8453,2024-04-28 00:00:00.000 UTC,L2,Base,1675764,2376744,2102129,2024-07-01 00:19:07.295055
optimism,10,2024-04-13 00:00:00.000 UTC,L2,OP Mainnet,510082,650387,590377,2024-07-01 00:19:07.295055
zora,7777777,2024-06-12 00:00:00.000 UTC,L2,ZORA,117751,143215,142756,2024-07-01 00:19:07.295055
base,8453,2024-04-22 00:00:00.000 UTC,L2,Base,1862679,2694891,2209278,2024-07-01 00:19:07.295055
gnosis,100,2024-04-13 00:00:00.000 UTC,L1,Gnosis,142504,191630,187279,2024-07-01 00:19:07.295055
arbitrum,42161,2024-04-30 00:00:00.000 UTC,L2,Arbitrum One,1275969,1729419,1573644,2024-07-01 00:19:07.295055
blast,81457,2024-04-04 00:00:00.000 UTC,L2,Blast,460342,494467,484831,2024-07-01 00:19:07.295055
ethereum,1,2024-06-06 00:00:00.000 UTC,L1,Ethereum,733884,1153630,1119365,2024-07-01 00:19:07.295055
base,8453,2024-05-11 00:00:00.000 UTC,L2,Base,1473908,1919559,1830438,2024-07-01 00:19:07.295055
polygon,137,2024-05-17 00:00:00.000 UTC,L1,Polygon PoS,4033055,4031472,3776673,2024-07-01 00:19:07.295055
zora,7777777,2024-04-02 00:00:00.000 UTC,L2,ZORA,111752,153440,151539,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-25 00:00:00.000 UTC,L1,Avalanche C-Chain,124935,168352,162558,2024-07-01 00:19:07.295055
fantom,250,2024-05-05 00:00:00.000 UTC,L1,Fantom,56643,102766,93566,2024-07-01 00:19:07.295055
scroll,534352,2024-06-14 00:00:00.000 UTC,L2,Scroll,249652,303007,293500,2024-07-01 00:19:07.295055
linea,59144,2024-06-11 00:00:00.000 UTC,L2,Linea,341299,417071,409980,2024-07-01 00:19:07.295055
optimism,10,2024-06-17 00:00:00.000 UTC,L2,OP Mainnet,433207,521236,490914,2024-07-01 00:19:07.295055
celo,42220,2024-04-07 00:00:00.000 UTC,L1,Celo,200690,229905,223758,2024-07-01 00:19:07.295055
blast,81457,2024-05-25 00:00:00.000 UTC,L2,Blast,413275,523454,511064,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-06-19 00:00:00.000 UTC,L1,Avalanche C-Chain,113631,150762,143872,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-24 00:00:00.000 UTC,L1,Avalanche C-Chain,129407,169715,162781,2024-07-01 00:19:07.295055
linea,59144,2024-07-01 00:00:00.000 UTC,L2,Linea,3539,3843,3829,2024-07-01 00:19:07.295055
ethereum,1,2024-04-17 00:00:00.000 UTC,L1,Ethereum,779469,1245215,1227879,2024-07-01 00:19:07.295055
bnb,56,2024-06-14 00:00:00.000 UTC,L1,BNB,2883603,3166758,2934880,2024-07-01 00:19:07.295055
zksync,324,2024-06-21 00:00:00.000 UTC,L2,zkSync Era,667106,667105,652756,2024-07-01 00:19:07.295055
blast,81457,2024-06-20 00:00:00.000 UTC,L2,Blast,999705,1110405,1071155,2024-07-01 00:19:07.295055
base,8453,2024-04-02 00:00:00.000 UTC,L2,Base,1679573,2548473,2077910,2024-07-01 00:19:07.295055
zora,7777777,2024-05-17 00:00:00.000 UTC,L2,ZORA,85380,103523,101793,2024-07-01 00:19:07.295055
arbitrum,42161,2024-04-17 00:00:00.000 UTC,L2,Arbitrum One,1309204,1738405,1550112,2024-07-01 00:19:07.295055
mantle,5000,2024-04-18 00:00:00.000 UTC,L2,Mantle,206477,248778,228690,2024-07-01 00:19:07.295055
polygon,137,2024-06-12 00:00:00.000 UTC,L1,Polygon PoS,4409681,4407619,4117229,2024-07-01 00:19:07.295055
bnb,56,2024-06-08 00:00:00.000 UTC,L1,BNB,2790185,2870384,2735515,2024-07-01 00:19:07.295055
base,8453,2024-06-12 00:00:00.000 UTC,L2,Base,2115709,3063503,2824224,2024-07-01 00:19:07.295055
scroll,534352,2024-04-25 00:00:00.000 UTC,L2,Scroll,193810,207865,202746,2024-07-01 00:19:07.295055
zora,7777777,2024-06-18 00:00:00.000 UTC,L2,ZORA,99851,146398,140888,2024-07-01 00:19:07.295055
linea,59144,2024-05-16 00:00:00.000 UTC,L2,Linea,325654,403270,397996,2024-07-01 00:19:07.295055
gnosis,100,2024-04-07 00:00:00.000 UTC,L1,Gnosis,142881,186097,184908,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-04-09 00:00:00.000 UTC,L1,Avalanche C-Chain,229089,298916,274174,2024-07-01 00:19:07.295055
zkevm,1101,2024-04-17 00:00:00.000 UTC,L2,Polygon zkEVM,5837,8952,8780,2024-07-01 00:19:07.295055
fantom,250,2024-06-06 00:00:00.000 UTC,L1,Fantom,79757,226522,187175,2024-07-01 00:19:07.295055
celo,42220,2024-06-22 00:00:00.000 UTC,L1,Celo,569984,626775,614675,2024-07-01 00:19:07.295055
polygon,137,2024-05-11 00:00:00.000 UTC,L1,Polygon PoS,3697979,3695714,3554879,2024-07-01 00:19:07.295055
blast,81457,2024-04-10 00:00:00.000 UTC,L2,Blast,443960,479756,471415,2024-07-01 00:19:07.295055
zksync,324,2024-05-20 00:00:00.000 UTC,L2,zkSync Era,762642,762642,732649,2024-07-01 00:19:07.295055
mantle,5000,2024-06-12 00:00:00.000 UTC,L2,Mantle,511147,593668,580715,2024-07-01 00:19:07.295055
optimism,10,2024-06-12 00:00:00.000 UTC,L2,OP Mainnet,442899,549072,518021,2024-07-01 00:19:07.295055
zkevm,1101,2024-07-01 00:00:00.000 UTC,L2,Polygon zkEVM,116,189,188,2024-07-01 00:19:07.295055
fantom,250,2024-04-21 00:00:00.000 UTC,L1,Fantom,133199,258191,232578,2024-07-01 00:19:07.295055
fantom,250,2024-07-01 00:00:00.000 UTC,L1,Fantom,1097,2221,1744,2024-07-01 00:19:07.295055
base,8453,2024-05-27 00:00:00.000 UTC,L2,Base,1264228,1748855,1571341,2024-07-01 00:19:07.295055
bnb,56,2024-04-20 00:00:00.000 UTC,L1,BNB,3477763,4193516,3977635,2024-07-01 00:19:07.295055
zora,7777777,2024-04-24 00:00:00.000 UTC,L2,ZORA,101247,125466,124427,2024-07-01 00:19:07.295055
base,8453,2024-04-06 00:00:00.000 UTC,L2,Base,1962194,2996747,2356701,2024-07-01 00:19:07.295055
mantle,5000,2024-05-11 00:00:00.000 UTC,L2,Mantle,255114,275975,268619,2024-07-01 00:19:07.295055
bnb,56,2024-05-17 00:00:00.000 UTC,L1,BNB,2629120,3025083,2918711,2024-07-01 00:19:07.295055
arbitrum,42161,2024-06-17 00:00:00.000 UTC,L2,Arbitrum One,1457234,1954428,1813084,2024-07-01 00:19:07.295055
avalanche_c,43114,2024-05-08 00:00:00.000 UTC,L1,Avalanche C-Chain,147885,194162,181896,2024-07-01 00:19:07.295055
