blockchain,chain_type,classification,dt,eth_fees,eth_fees_success,gas_used,gas_used_success,num_senders,num_txs,num_txs_success,last_updated,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
base,L2,Potential Non-Sybil,2024-08-31,8.923073910848002,8.220854863755331,612366151260,601058058235,215408,2626401,2533836,2024-09-02 01:00:22.804107,dune,base,True,8453,modern,OP Chain,base,Base
base,L2,Volume too Low,2024-08-31,1.993462950145405,1.9671381089784132,105309373513,100862637867,583391,926158,890369,2024-09-02 01:00:22.804107,dune,base,True,8453,modern,OP Chain,base,Base
avalanche_c,L1,Volume too Low,2024-08-31,55.57146155870311,55.37779884826712,1987344252,1980177219,11126,16259,16185,2024-09-02 01:00:22.804107,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
avalanche_c,L1,Likely Sybil,2024-08-31,51.333220494432474,49.507974031399606,1461003034,1425338290,2892,14315,14039,2024-09-02 01:00:22.804107,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
avalanche_c,L1,Potential Non-Sybil,2024-08-31,458.4225737009807,441.23573442501356,15709751196,15214001087,10260,99232,93905,2024-09-02 01:00:22.804107,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,Potential Non-Sybil,2024-08-31,23217.396386025048,20731.330862774103,176642745887,166654346725,103412,748357,690481,2024-09-02 01:00:22.804107,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
arbitrum,L2,Volume too Low,2024-08-31,0.7961539541394127,0.7923159749298687,13496719358,13328433832,93559,136816,134470,2024-09-02 01:00:22.804107,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
arbitrum,L2,Likely Sybil,2024-08-31,14.162975063596571,11.612245754965759,43379915863,41062436168,148511,279218,259534,2024-09-02 01:00:22.804107,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
all chains,Aggregated,Volume too Low,2024-08-31,1150.9305532542871,1135.3192321967363,243828800778,237314087586,1428040,2338804,2289016,2024-09-02 01:00:22.804107,dune,all chains,False,,,Other EVMs,,All Chains
all chains,Aggregated,Likely Sybil,2024-08-31,3297.076018218407,3042.209360221891,371100772490,359263070872,1102943,2973238,2843178,2024-09-02 01:00:22.804107,dune,all chains,False,,,Other EVMs,,All Chains
all chains,Aggregated,Potential Non-Sybil,2024-08-31,45115.95981610743,41061.691566420195,1893816533426,1833577960274,1208028,9256885,8826768,2024-09-02 01:00:22.804107,dune,all chains,False,,,Other EVMs,,All Chains
zora,L2,Volume too Low,2024-08-30,0.0056744898984675855,0.00567272818117998,2938117031,2935412732,4224,6826,6814,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zora,L2,Likely Sybil,2024-08-30,0.002104220881490334,0.002104220881490334,5775254739,5775254739,792,11100,11100,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zora,L2,Potential Non-Sybil,2024-08-30,0.05934421961283228,0.05789132901491736,28236658921,28206537665,16113,76485,76170,2024-09-02 01:00:22.804107,dune,zora,True,7777777,modern,OP Chain,zora,Zora
zksync,L2,Volume too Low,2024-08-30,0.11379560831656185,0.11346641230406188,2441080398,2433805348,14722,18230,18177,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zksync,L2,Potential Non-Sybil,2024-08-30,1.2972627615275323,1.262630488276282,28668790310,27903436205,66759,177490,174452,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zksync,L2,Likely Sybil,2024-08-30,0.10544400200699927,0.10307782434724934,2330254188,2277962969,11152,16703,16516,2024-09-02 01:00:22.804107,dune,zksync era,False,,,Other EVMs,,zkSync Era
zkevm,L2,Likely Sybil,2024-08-30,0.00037979049680357985,0.0003771383968035798,10947330,10923220,50,147,146,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
zkevm,L2,Potential Non-Sybil,2024-08-30,0.10088966169757271,0.07695041566442763,2200690059,1595367045,2916,12693,10572,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
zkevm,L2,Volume too Low,2024-08-30,0.008487667012479284,0.008402639066663999,131919925,128869238,817,1280,1262,2024-09-02 01:00:22.804107,dune,polygon zkevm,False,,,Other EVMs,,Polygon zkEVM
scroll,L2,Volume too Low,2024-08-30,0.13406895045565817,0.13179098219302512,2127493080,2087562314,5205,10713,10530,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
scroll,L2,Likely Sybil,2024-08-30,0.034028693928698124,0.03194106988467177,338735871,311667287,499,9191,8972,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
scroll,L2,Potential Non-Sybil,2024-08-30,3.7512450713921734,3.5763574425507385,59357626579,57205681663,53421,246466,237928,2024-09-02 01:00:22.804107,dune,scroll,False,,,Other EVMs,,Scroll
polygon,L1,Potential Non-Sybil,2024-08-30,39186.73943693227,33744.790117470126,438894489863,413566368398,262227,2025530,1853255,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
polygon,L1,Volume too Low,2024-08-30,1549.0033386540397,1517.8319693152453,27087615674,26509786072,189869,292618,289427,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
polygon,L1,Likely Sybil,2024-08-30,4715.143283800381,4028.389753076605,71302432817,64476301216,269929,690232,596894,2024-09-02 01:00:22.804107,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,Potential Non-Sybil,2024-08-30,4.606103248623398,4.246307368204957,177437078740,173326940541,28582,515738,492077,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
optimism,L2,Volume too Low,2024-08-30,0.2207826243470255,0.22058277687243677,4853522167,4755495048,42357,53152,52829,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
optimism,L2,Likely Sybil,2024-08-30,1.1056790395195841,0.8523131597694394,26740894122,25926687160,5385,83765,76355,2024-09-02 01:00:22.804107,dune,op mainnet,True,10,modern,OP Chain,op,OP Mainnet
op chains,Aggregated,Likely Sybil,2024-08-30,8.942075033511957,6.414856623195949,165377209782,161344112591,106445,887566,848664,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
op chains,Aggregated,Potential Non-Sybil,2024-08-30,26.171769111368807,22.304721980688946,817602988371,791487105317,227073,3197933,3044376,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
op chains,Aggregated,Volume too Low,2024-08-30,1.3578819798368869,1.3249566153676169,111993845365,107582263922,624501,976663,945739,2024-09-02 01:00:22.804107,dune,op chains,False,,,Other EVMs,,OP Chains
linea,L2,Volume too Low,2024-08-30,0.14830430592512828,0.14764466634011264,2332408845,2321633103,12094,17775,17649,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
linea,L2,Potential Non-Sybil,2024-08-30,2.704775871052547,2.536100618726839,35184346626,33980235519,119745,247931,241620,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
linea,L2,Likely Sybil,2024-08-30,0.3043146379396974,0.3005905724587504,4266972511,4206885798,89472,109624,109339,2024-09-02 01:00:22.804107,dune,linea,False,,,Other EVMs,,Linea
l2s,Aggregated,Likely Sybil,2024-08-30,42.12985010314725,32.189601595935116,236809808294,224163955642,361714,1433188,1337523,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
l2s,Aggregated,Volume too Low,2024-08-30,3.2030795800155545,3.1337518328808143,133772674195,129131833397,757132,1184994,1152235,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
l2s,Aggregated,Potential Non-Sybil,2024-08-30,78501.32747119394,66749.40015796624,1226038825633,1166659483918,465531,5016379,4671872,2024-09-02 01:00:22.804107,dune,l2s,False,,,Other EVMs,,L2s
fantom,L1,Volume too Low,2024-08-30,29.516335310413613,26.26818739517598,2579418528,2343652645,7435,15617,15053,2024-09-02 01:00:22.804107,dune,fantom,False,,,Other EVMs,,Fantom
