blockchain,layer,creator_address,date,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
l3,Aggregate,0,2024-05-04,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,19057,2024-05-04,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7880,2024-05-04,l1s,False,,,Other EVMs,,L1s
gnosis,L1,129,2024-05-04,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,229,2024-05-04,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2076,2024-05-04,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,183,2024-05-04,celo,False,,,Other EVMs,,Celo
bnb,L1,3405,2024-05-04,bnb,False,,,Other EVMs,,BNB
base,L2,17608,2024-05-04,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,447,2024-05-04,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1401,2024-05-04,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,26137,2024-05-04,all,False,,,Other EVMs,,All
zora,L2,71,2024-05-03,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2401,2024-05-03,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,572,2024-05-03,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,18036,2024-05-03,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-03,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,19118,2024-05-03,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,7993,2024-05-03,l1s,False,,,Other EVMs,,L1s
gnosis,L1,131,2024-05-03,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,248,2024-05-03,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2092,2024-05-03,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,193,2024-05-03,celo,False,,,Other EVMs,,Celo
bnb,L1,3437,2024-05-03,bnb,False,,,Other EVMs,,BNB
base,L2,17629,2024-05-03,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,456,2024-05-03,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1427,2024-05-03,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,26306,2024-05-03,all,False,,,Other EVMs,,All
zora,L2,73,2024-05-02,zora,True,7777777.0,modern,OP Chain,zora,Zora
polygon,L1,2439,2024-05-02,polygon pos,False,,,Other EVMs,,Polygon PoS
optimism,L2,574,2024-05-02,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,17994,2024-05-02,op chains,False,,,Other EVMs,,OP Chains
l3,Aggregate,0,2024-05-02,l3s,False,,,Other EVMs,,L3s
l2,Aggregate,19069,2024-05-02,l2s,False,,,Other EVMs,,L2s
l1,Aggregate,8063,2024-05-02,l1s,False,,,Other EVMs,,L1s
gnosis,L1,129,2024-05-02,gnosis,False,,,Other EVMs,,Gnosis
fantom,L1,253,2024-05-02,fantom,False,,,Other EVMs,,Fantom
ethereum,L1,2088,2024-05-02,ethereum,False,,,Other EVMs,,Ethereum
celo,L1,204,2024-05-02,celo,False,,,Other EVMs,,Celo
bnb,L1,3468,2024-05-02,bnb,False,,,Other EVMs,,BNB
base,L2,17583,2024-05-02,base,True,8453.0,modern,OP Chain,base,Base
avalanche_c,L1,459,2024-05-02,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,1424,2024-05-02,arbitrum one,False,,,Other EVMs,,Arbitrum One
all,Aggregate,26340,2024-05-02,all,False,,,Other EVMs,,All
zora,L2,73,2024-05-01,zora,True,7777777.0,modern,OP Chain,zora,Zora
