defillama_slug,geckoId,symbol,cmcId,categories,chainId,github,twitter,url,parent,governanceID
Interlay,interlay,INTR,20366,"['Parachain', 'Bitcoin Sidechains']",,['interlay'],InterlayHQ,https://www.interlay.io/,"{'chain': 'Polkadot', 'types': ['parachain']}",
Juno,juno-network,JUNO,14299,['Cosmos'],,['CosmosContracts'],JunoNetwork,https://junonetwork.io/,,
Tombchain,tomb,TOMB,11495,['EVM'],,['tombchain'],TombChain,,,
Crescent,crescent-network,CRE,,['Cosmos'],,['crescent-network'],CrescentHub,https://crescent.network/ ,,
Vision,vision-metaverse,VS,19083,['EVM'],,['vision-consensus'],Vision_Chain,https://v.network/,,['snapshot:vnetwork.eth']
EthereumPoW,ethereum-pow-iou,ETHW,21296,['EVM'],,['ethereumpoworg'],EthereumPoW,https://ethereumpow.org/,,
Cube,cube-network,CUBE,20519,['EVM'],1818,['cube-network'],,,,
FunctionX,fx-coin,FX,3884,['EVM'],,['FunctionX'],functionx_io,https://functionx.io/home,,
Aptos,aptos,APT,21794,,,['aptos-labs'],Aptos_Network,https://aptosfoundation.org/,,
Kekchain,kekchain,KEK,21606,['EVM'],420420,['kek-chain'],,,,
Milkomeda A1,,,,"['EVM', 'Rollup']",2002,['dcSpark'],Milkomeda_com,https://www.milkomeda.com/,"{'chain': 'Algorand', 'types': ['L2', 'gas']}",
Stride,stride,STRD,21781,['Cosmos'],,['Stride-Labs'],stride_zone,https://www.stride.zone/,,
MUUCHAIN,muu-inu,MUU,22020,['EVM'],20402,,,,,
Injective,injective-protocol,INJ,,['Cosmos'],,['InjectiveLabs'],Injective_,https://injective.com/,,
Step,stepex,SPEX,21725,['EVM'],,,StepApp_,,,
TON,the-open-network,TON,11419,,,['ton-blockchain'],ton_blockchain,https://ton.org/,,
Starknet,starknet,STRK,,,,['starknet-io'],Starknet,https://www.starknet.io/en,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",['snapshot:starknet.eth']
Dexit,dexit-finance,DXT,,['EVM'],,['Dexit-Finance'],,,,
Empire,,EMPIRE,,['EVM'],,,,,,
Boba_Avax,,,,['EVM'],,['bobanetwork'],,,,
Boba_Bnb,,,,['EVM'],,['bobanetwork'],,,,
Comdex,comdex,CMDX,14713,['Cosmos'],,['comdex-official'],ComdexOfficial,https://comdex.one/,,
Flare,flare-networks,FLR,4172,['EVM'],,['flare-foundation'],FlareNetworks,https://flare.network/,,
Tlchain,tlchain,TLC,,['EVM'],,['TlChainNetwork'],,,,
Zeniq,,ZENIQ,,['EVM'],,,,,,
Omax,omax-token,OMAX,13916,['EVM'],,['OMAX-Development'],,,,
Bitindi,bitindi-chain,BNI,22026,['EVM'],,['bitindi'],,,,
MAP Protocol,marcopolo,MAP,4956,"['EVM', 'Bitcoin Sidechains']",,,MapProtocol,https://www.mapprotocol.io/,,
Stargaze,stargaze,STARS,16842,['Cosmos'],,['public-awesome'],StargazeZone,https://www.stargaze.zone/,,
Libre,libre,LIBRE,,['Bitcoin Sidechains'],,,,,,
UX,umee,UX,16389,['Cosmos'],,['umee-network'],,,,
WEMIX3.0,wemix-token,WEMIX,7548,['EVM'],,['wemixarchive'],WemixNetwork,https://www.wemix.com/,,
Persistence,persistence,XPRT,7281,['Cosmos'],,['persistenceOne'],PersistenceOne,https://persistence.one/,,
ENULS,,,,['EVM'],,['nuls-io'],Nuls,https://nuls.io/,,
Oraichain,oraichain-token,ORAI,7533,['Cosmos'],,['oraichain'],oraichain,https://orai.io/,,
Goerli,goerli-eth,GETH,23669,['EVM'],,,,,,
SKALE Europa,,,,['EVM'],,['patractlabs'],,,,
CORE,coredaoorg,CORE,23254,"['EVM', 'Bitcoin Sidechains']",,['coredao-org'],Coredao_Org,https://coredao.org/,,
Rangers,rangers-protocol-gas,RPG,12221,['EVM'],,,,,,['snapshot:rangersprotocoldao.eth']
Lung,,,,['EVM'],78887,,,,,
Loop,loopnetwork,LOOP,18761,['EVM'],,,,,,
Bone,,BONE,,['EVM'],,,,,,
zkSync Era,zksync,ZK,24091,"['EVM', 'Rollup']",324,['matter-labs'],zksync,https://zksync.io/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Polygon zkEVM,,,,"['EVM', 'Rollup']",1101,['maticnetwork'],0xPolygon,https://polygon.technology/,"{'chain': 'Ethereum', 'types': ['L2', 'gas']}",
Meta,metadium,META,3418,['EVM'],,['METADIUM'],,,,
Equilibrium,equilibrium-token,EQ,6780,['Parachain'],,['equilibrium-eosdt'],EquilibriumDeFi,https://eq.finance/,"{'chain': 'Polkadot', 'types': ['parachain']}",
Regen,regen,REGEN,11646,['Cosmos'],,['regen-network'],,,,
EOS EVM,,,,['EVM'],,['eosnetworkfoundation'],EOSNetworkFDN,https://eosnetwork.com/,,
Quicksilver,quicksilver,QCK,,['Cosmos'],,['ingenuity-build'],quicksilverzone,https://quicksilver.zone/,,
Oasys,oasys,OAS,22265,['EVM'],,['oasysgames'],oasys_games,https://www.oasys.games/,,
Migaloo,white-whale,WHALE,,['Cosmos'],,['White-Whale-Defi-Platform'],,,,
Sui,sui,SUI,20947,,,['MystenLabs'],SuiNetwork,https://sui.io/,,
