dt,blockchain,layer,num_qualified_txs,source,display_name_lower,is_op_chain,mainnet_chain_id,op_based_version,alignment,chain_name,display_name
2024-03-14,ethereum,L1,707974.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-14,celo,L1,176900.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-14,bnb,L1,3378879.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-14,blast,L2,177857.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-14,base,L2,877179.0,dune,base,True,8453.0,modern,OP Chain,base,Base
2024-03-14,avalanche_c,L1,337547.0,dune,avalanche c-chain,False,,,Other EVMs,,Avalanche C-Chain
2024-03-14,arbitrum,L2,671873.0,dune,arbitrum one,False,,,Other EVMs,,Arbitrum One
2024-03-13,zora,L2,37967.0,dune,zora,True,7777777.0,modern,OP Chain,zora,Zora
2024-03-13,zksync,L2,909398.0,dune,zksync era,False,,,Other EVMs,,zkSync Era
2024-03-13,scroll,L2,121276.0,dune,scroll,False,,,Other EVMs,,Scroll
2024-03-13,polygon,L1,4874669.0,dune,polygon pos,False,,,Other EVMs,,Polygon PoS
2024-03-13,optimism,L2,215487.0,dune,op mainnet,True,10.0,modern,OP Chain,op,OP Mainnet
2024-03-13,mode,L2,36021.0,goldsky,mode,True,34443.0,modern,OP Chain,mode,Mode
2024-03-13,gnosis,L1,173752.0,dune,gnosis,False,,,Other EVMs,,Gnosis
2024-03-13,fraxtal,L2,7676.0,goldsky,fraxtal,True,252.0,modern,OP Chain,fraxtal,Fraxtal
2024-03-13,fantom,L1,119639.0,dune,fantom,False,,,Other EVMs,,Fantom
2024-03-13,ethereum,L1,699291.0,dune,ethereum,False,,,Other EVMs,,Ethereum
2024-03-13,celo,L1,193280.0,dune,celo,True,,modern,OP Chain,celo,Celo
2024-03-13,bnb,L1,3320338.0,dune,bnb,False,,,Other EVMs,,BNB
2024-03-13,blast,L2,120979.0,flipside,blast,False,81457.0,modern,OP Stack Fork,blast,Blast
2024-03-13,base,L2,251678.0,dune,base,True,8453.0,modern,OP Chain,base,Base
