blockchain,layer,chain_id,creator_address,dt,is_op_chain,op_based_version,alignment,chain_name,display_name
all,Aggregate,-1,10638,2024-07-15,False,,Aggregate,,All
zora,L2,7777777,37,2024-07-14,True,modern,OP Chain,zora,Zora
polygon,L1,137,1804,2024-07-14,False,,Other EVMs,,Polygon PoS
optimism,L2,10,530,2024-07-14,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3688,2024-07-14,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-14,False,,Aggregate,,L3s
l2,Aggregate,-1,4632,2024-07-14,False,,Aggregate,,L2s
l1,Aggregate,-1,6591,2024-07-14,False,,Aggregate,,L1s
gnosis,L1,100,125,2024-07-14,False,,Other EVMs,,Gnosis
fantom,L1,250,134,2024-07-14,False,,Other EVMs,,Fantom
ethereum,L1,1,2428,2024-07-14,False,,Other EVMs,,Ethereum
celo,L1,42220,88,2024-07-14,False,,Other EVMs,,Celo
bnb,L1,56,2509,2024-07-14,False,,Other EVMs,,BNB
base,L2,8453,3373,2024-07-14,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,354,2024-07-14,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1317,2024-07-14,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10540,2024-07-14,False,,Aggregate,,All
zora,L2,7777777,35,2024-07-13,True,modern,OP Chain,zora,Zora
polygon,L1,137,1823,2024-07-13,False,,Other EVMs,,Polygon PoS
optimism,L2,10,529,2024-07-13,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3704,2024-07-13,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-13,False,,Aggregate,,L3s
l2,Aggregate,-1,4649,2024-07-13,False,,Aggregate,,L2s
l1,Aggregate,-1,6637,2024-07-13,False,,Aggregate,,L1s
gnosis,L1,100,122,2024-07-13,False,,Other EVMs,,Gnosis
fantom,L1,250,134,2024-07-13,False,,Other EVMs,,Fantom
ethereum,L1,1,2442,2024-07-13,False,,Other EVMs,,Ethereum
celo,L1,42220,88,2024-07-13,False,,Other EVMs,,Celo
bnb,L1,56,2521,2024-07-13,False,,Other EVMs,,BNB
base,L2,8453,3390,2024-07-13,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,353,2024-07-13,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1317,2024-07-13,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10603,2024-07-13,False,,Aggregate,,All
zora,L2,7777777,35,2024-07-12,True,modern,OP Chain,zora,Zora
polygon,L1,137,1866,2024-07-12,False,,Other EVMs,,Polygon PoS
optimism,L2,10,538,2024-07-12,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3708,2024-07-12,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-12,False,,Aggregate,,L3s
l2,Aggregate,-1,4666,2024-07-12,False,,Aggregate,,L2s
l1,Aggregate,-1,6739,2024-07-12,False,,Aggregate,,L1s
gnosis,L1,100,125,2024-07-12,False,,Other EVMs,,Gnosis
fantom,L1,250,136,2024-07-12,False,,Other EVMs,,Fantom
ethereum,L1,1,2479,2024-07-12,False,,Other EVMs,,Ethereum
celo,L1,42220,89,2024-07-12,False,,Other EVMs,,Celo
bnb,L1,56,2566,2024-07-12,False,,Other EVMs,,BNB
base,L2,8453,3387,2024-07-12,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,355,2024-07-12,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1338,2024-07-12,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10701,2024-07-12,False,,Aggregate,,All
zora,L2,7777777,37,2024-07-11,True,modern,OP Chain,zora,Zora
polygon,L1,137,1904,2024-07-11,False,,Other EVMs,,Polygon PoS
optimism,L2,10,543,2024-07-11,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3670,2024-07-11,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-11,False,,Aggregate,,L3s
l2,Aggregate,-1,4641,2024-07-11,False,,Aggregate,,L2s
l1,Aggregate,-1,6800,2024-07-11,False,,Aggregate,,L1s
gnosis,L1,100,130,2024-07-11,False,,Other EVMs,,Gnosis
fantom,L1,250,142,2024-07-11,False,,Other EVMs,,Fantom
ethereum,L1,1,2489,2024-07-11,False,,Other EVMs,,Ethereum
celo,L1,42220,89,2024-07-11,False,,Other EVMs,,Celo
bnb,L1,56,2576,2024-07-11,False,,Other EVMs,,BNB
base,L2,8453,3351,2024-07-11,True,modern,OP Chain,base,Base
avalanche_c,L1,43114,367,2024-07-11,False,,Other EVMs,,Avalanche C-Chain
arbitrum,L2,42161,1355,2024-07-11,False,,Other EVMs,,Arbitrum One
all,Aggregate,-1,10735,2024-07-11,False,,Aggregate,,All
zora,L2,7777777,38,2024-07-10,True,modern,OP Chain,zora,Zora
polygon,L1,137,1907,2024-07-10,False,,Other EVMs,,Polygon PoS
optimism,L2,10,543,2024-07-10,True,modern,OP Chain,op,OP Mainnet
op chains,Aggregate,-1,3658,2024-07-10,False,,Aggregate,,OP Chains
l3,Aggregate,-1,0,2024-07-10,False,,Aggregate,,L3s
l2,Aggregate,-1,4634,2024-07-10,False,,Aggregate,,L2s
