_col15,_col22,_col29,_col36,_col8,announce_date,app_name,category,end_date,gas_fee_eth_per_day,gas_fee_eth_per_day_after,gas_fee_eth_per_day_prev,gas_fee_usd_per_day,gas_fee_usd_per_day_after,gas_fee_usd_per_day_prev,incentive_type,incremental_addr_per_day,incremental_addr_per_day_after,incremental_gas_fee_eth_per_day,incremental_gas_fee_eth_per_day_after,incremental_gas_fee_usd_per_day,incremental_gas_fee_usd_per_day_after,incremental_l1_gas_used_per_day,incremental_l1_gas_used_per_day_after,incremental_l2_gas_used_per_day,incremental_l2_gas_used_per_day_after,incremental_txs_per_day,incremental_txs_per_day_after,l1_gas_used_per_day,l1_gas_used_per_day_after,l1_gas_used_per_day_prev,l2_gas_used_per_day,l2_gas_used_per_day_after,l2_gas_used_per_day_prev,num_addr_per_day,num_addr_per_day_after,num_addr_per_day_prev,num_op,op_source,start_date,txs_per_day,txs_per_day_after,txs_per_day_prev,last_updated
|,|,|,|,|,2023-05-29T00:00:00Z,Mean Finance,['Automation'],,,,,,,,['Trades/Swaps'],,,,,,,,,,,,,,,,,,,,,,300000,['Season 1'],2023-05-29T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2023-05-31T00:00:00Z,Paytrie,['DEX (Decentralized Exchange)'],,,,,,,,['Gas Rebate'],,,,,,,,,,,,,,,,,,,,,,50000,['Season 3'],2023-07-13T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2023-06-20T00:00:00Z,Sonne Finance,['Lend/Borrow Market'],,,,,,,,['Liquidity Providing / Deposits'],,,,,,,,,,,,,,,,,,,,,,250000,['Season 3'],2023-06-20T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2023-06-20T00:00:00Z,Kromatika,['DEX (Decentralized Exchange)'],,,,,,,,"['Liquidity Providing / Deposits, Gas Rebate']",,,,,,,,,,,,,,,,,,,,,,300000,['Season 2'],2023-05-07T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2023-07-17T00:00:00Z,ShapeShift,['DEX (Decentralized Exchange)'],,,,,,,,"['Trades/Swaps, Bridging']",,,,,,,,,,,,,,,,,,,,,,200000,['Season 3'],2023-07-13T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2023-07-20T00:00:00Z,Nested,['Other DeFi'],,,,,,,,"['Trades/Swaps, User Engagement']",,,,,,,,,,,,,,,,,,,,,,250000,['Season 3'],2023-06-22T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,2023-08-16T00:00:00Z,Tally Ho,['Wallet / Tracker'],,,,,,,,['User Engagement'],,,,,,,,,,,,,,,,,,,,,,400000,['Season 2'],2023-09-27T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,,KyberSwap,['DEX (Decentralized Exchange)'],,,,,,,,"['Liquidity Providing / Deposits, Trades/Swaps']",,,,,,,,,,,,,,,,,,,,,,250000,['Season 3'],2022-11-20T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,,Bored Town,['Other'],,,,,,,,['Other'],,,,,,,,,,,,,,,,,,,,,,50000,['Season 3'],2023-06-01T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
|,|,|,|,|,,Quests on Coinbase Wallet,['Wallet / Tracker'],,,,,,,,[None],,,,,,,,,,,,,,,,,,,,,,0,['Partner Fund'],2023-03-09T00:00:00Z,,,,2024-02-19 12:10:10.399885+00:00
