name_mapped,chain_id_mapped,layer,stage,purposes,raas,stack_name,da_layer,infra_label,is_defillama,is_growthepie,is_l2beat,is_ethereum_ecosystem
Xterio Chain,,L2,NotApplicable,"['Universal', 'Gaming']",AltLayer,OPStack,CustomDA,,False,False,True,True
Syndicate Frame Chain,,L3,Stage 0,"['Universal', 'Social']",Caldera,OPStack,EthereumBlobs,,False,False,True,True
Clique,,L3,NotApplicable,"['AI', 'Gaming']",Conduit,OPStack,Celestia,,False,False,True,True
Kontos,,L2,UnderReview,['Universal'],,,,,False,False,True,True
Boba_Bnb,,,,,,,,,True,False,False,False
ZetaChain,7000.0,,,,,,,,True,False,False,False
HAQQ,11235.0,,,,,,,,True,False,False,False
ThunderCore,108.0,,,,,,,,True,False,False,False
Moonriver,1285.0,,,,,,,,True,False,False,False
Cronos,25.0,,,,,,,,True,False,False,False
Bitcoin,,,,,,,,,True,False,False,False
Hedera,,,,,,,,,True,False,False,False
Bifrost Network,,,,,,,,,True,False,False,False
NEO,,,,,,,,,True,False,False,False
REI,47805.0,,,,,,,,True,False,False,False
CosmosHub,,,,,,,,,True,False,False,False
Icon,,,,,,,,,True,False,False,False
Tezos,,,,,,,,,True,False,False,False
Terra2,,,,,,,,,True,False,False,False
Meter,82.0,,,,,,,,True,False,False,False
GoChain,60.0,,,,,,,,True,False,False,False
Dogechain,,,,,,,,,True,False,False,False
Stellar,,,,,,,,,True,False,False,False
Step,,,,,,,,,True,False,False,False
EthereumClassic,61.0,,,,,,,,True,False,False,False
BSquared,,,,,,,,,True,False,False,False
Hydra,,,,,,,,,True,False,False,False
MultiVAC,,,,,,,,,True,False,False,False
Heiko,,,,,,,,,True,False,False,False
Tombchain,,,,,,,,,True,False,False,False
Pego,,,,,,,,,True,False,False,False
MUUCHAIN,20402.0,,,,,,,,True,False,False,False
Rari,1380012617.0,,,,,,,,True,False,False,False
Tlchain,,,,,,,,,True,False,False,False
Darwinia,,,,,,,,,True,False,False,False
Bitlayer,200901.0,,,,,,,,True,False,False,False
Alephium,,,,,,,,,True,False,False,False
MEER,,,,,,,,,True,False,False,False
AirDAO,16718.0,,,,,,,,True,False,False,False
dYdX,,,,,,,,,True,False,False,False
Bitnet,,,,,,,,,True,False,False,False
XRPL,,,,,,,,,True,False,False,False
Oasis Sapphire,23294.0,,,,,,,,True,False,False,False
DeFiChain EVM,1130.0,,,,,,,,True,False,False,False
Aeternity,,,,,,,,,True,False,False,False
HeLa,8668.0,,,,,,,,True,False,False,False
Fuel Ignition,,L2,Stage 0,['Universal'],,,EthereumBlobs,,True,False,True,True
X Layer,,L2,NotApplicable,['Universal'],,PolygonCDK,DAC,AggLayer,True,False,True,True
ZKFair,42766.0,L2,NotApplicable,['Universal'],,PolygonCDK,DAC,,True,False,True,True
Blast,81457.0,L2,Stage 0,['Universal'],Self-hosted,OPStack,EthereumBlobs,,True,True,True,True
Polygon zkEVM,1101.0,L2,Stage 0,['Universal'],Self-hosted,PolygonCDK,EthereumCalldata,AggLayer,True,True,True,True
Zora,7777777.0,L2,Stage 0,"['Universal', 'NFT']",Conduit,OPStack,EthereumBlobs,Superchain,True,True,True,True
dYdX v3,,L2,Stage 1,['Exchange'],,StarkEx,EthereumCalldata,,False,False,True,True
Silicon,,L2,NotApplicable,['Universal'],,PolygonCDK,DAC,AggLayer,False,False,True,True
DeBank Chain,,L2,Stage 0,['Universal'],,OPStack,EthereumBlobs,,False,False,True,True
Myria,,L2,NotApplicable,"['NFT', 'Exchange', 'Gaming']",,StarkEx,DAC,SHARP,False,False,True,True
Stack,,L3,NotApplicable,"['Universal', 'Social']",Conduit,OPStack,Celestia,,False,False,True,True
GPT Protocol,,L2,NotApplicable,"['Universal', 'AI']",Gateway,PolygonCDK,DAC,AggLayer,False,False,True,True
