address,is_eligible_l1_gas,is_eligible_opc_gas,a_min_contract_created_at,b_last_transfers_in_days,c_last_active_in_days,d_gas_fee_eth_last_180days_threshold,e_is_wlta_creator,multiplier,op_amount_raw
0x018784ae0a0d0b9effae961792fa4abfb717572b,False,True,False,False,False,True,False,1.05,239587127124290447000
0x0187c9a182736ba18b44ee8134ee438374cf87dc,True,False,True,True,True,True,False,1.5,223189845831194134007
0x018d5ec84249246da448445f4a85423a5f888e88,True,False,False,True,True,True,False,1.25,33450583239849578376
0x018ee0fdf5fac20f6cdf575afc03fd406531414f,True,False,False,False,False,False,False,1.0,61495055966566923189
0x018eeb2d09cd6cdc74a7d5f20f4dc6cd86569fed,False,True,False,True,True,True,False,1.25,370659281693050047579
0x018fc0a5063e2576d95335dc3be9eadf89a1f35e,True,False,False,False,False,False,False,1.0,63609789506580561635
0x0192180fe90021cb3787cc0d0e2dfd400720ca3f,False,True,False,True,True,True,False,1.25,73453840368981246911
0x019486d8706cab76fa35583a14ef8e3b644ba36c,True,False,False,False,False,False,False,1.0,28619658972881101278
0x0196873ada304a7bfb94ffd3db808c15f1fdfda3,True,False,False,True,True,True,False,1.25,25290607985696137661
0x019694114e16a11457a422c331998c7a69979a8e,True,False,True,True,False,True,False,1.25,67342304979795756026
0x019b0ee245fb09aaf92ac93ca3309832b7974681,True,True,True,True,True,True,False,1.5,485827955532217174550
0x019d66a37313fb0c131a9e1727e33c7b6c72df3e,False,True,False,False,False,True,False,1.05,31573512450755625736
0x019d79e9794cfadeb0786d8808e42364b76d31a2,True,False,False,True,True,True,False,1.25,142162338873226559599
0x01a2ec28858e8c5e91632871a34b8ac849fb1c79,True,False,True,True,True,True,False,1.5,77152442144805519320
0x01a30e70712e00a8dd86bf4d1bf16c08807daf37,True,False,False,False,False,False,False,1.0,32929100711942261626
0x01a5243219980fac800b28ddbd8ec3a6a86696b3,False,True,False,True,True,True,True,1.5,44835587039372249762
0x01ab4d2fc37a2735d8ff2a23ba4ae057cb3c73fe,True,False,True,True,False,True,False,1.25,44448953059406512978
0x01abcd06cf5221cb2b9688878c27e54ee06101dd,True,True,False,True,True,True,False,1.25,30382185907965872929
0x01ac2f415510312198b562845b44f3c17e825f75,True,False,True,True,False,True,False,1.25,32690200644353545556
